Age [ka BP],Mo [ppm],U [ppm],ID,Core,t_transition_start,t_transition_end,tsid
9.56456,7.833084439,5.324292993,S1,MS21,10.5,9.7,1
9.56984,12.86427863,4.340523627,S1,MS21,10.5,9.7,1
9.57512,7.88003733,6.575797159,S1,MS21,10.5,9.7,1
9.5804,10.02956274,7.522788649,S1,MS21,10.5,9.7,1
9.58568,12.08156233,8.039165389,S1,MS21,10.5,9.7,1
9.59096,15.16299614,7.681268394,S1,MS21,10.5,9.7,1
9.59632,17.71515406,7.273073507,S1,MS21,10.5,9.7,1
9.60176,14.93634837,5.196602005,S1,MS21,10.5,9.7,1
9.6072,16.26550641,5.717630971,S1,MS21,10.5,9.7,1
9.61264,24.61743752,8.614089705,S1,MS21,10.5,9.7,1
9.61808,32.23154871,6.403860316,S1,MS21,10.5,9.7,1
9.62361,33.02905159,10.28555852,S1,MS21,10.5,9.7,1
9.62923,22.6424243,7.139060581,S1,MS21,10.5,9.7,1
9.63485,29.68212218,6.512534972,S1,MS21,10.5,9.7,1
9.64047,20.51664815,5.704386053,S1,MS21,10.5,9.7,1
9.64609,24.27026713,5.394796076,S1,MS21,10.5,9.7,1
9.65175,19.09120769,5.099873589,S1,MS21,10.5,9.7,1
9.65745,20.89884415,5.01348085,S1,MS21,10.5,9.7,1
9.66315,21.54119827,5.320248826,S1,MS21,10.5,9.7,1
9.66885,21.33770938,3.341625683,S1,MS21,10.5,9.7,1
9.67455,18.58805469,6.98568454,S1,MS21,10.5,9.7,1
9.68028,15.21343006,5.583707319,S1,MS21,10.5,9.7,1
9.68604,19.17776779,7.718451004,S1,MS21,10.5,9.7,1
9.6918,10.60324608,6.603480158,S1,MS21,10.5,9.7,1
9.69756,13.36588326,3.620514475,S1,MS21,10.5,9.7,1
9.70332,11.73479151,3.962317336,S1,MS21,10.5,9.7,1
9.70909,11.21858835,6.074764839,S1,MS21,10.5,9.7,1
9.71487,10.29078325,2.655764412,S1,MS21,10.5,9.7,1
9.72065,10.89707347,8.523588638,S1,MS21,10.5,9.7,1
9.72643,9.623297035,3.792361758,S1,MS21,10.5,9.7,1
9.73221,11.68124041,5.846928089,S1,MS21,10.5,9.7,1
9.73801,10.78021738,5.726028854,S1,MS21,10.5,9.7,1
9.74383,17.88884721,4.482050142,S1,MS21,10.5,9.7,1
9.74965,14.60186688,5.660406982,S1,MS21,10.5,9.7,1
9.75547,12.07502661,5.024419152,S1,MS21,10.5,9.7,1
9.76129,14.98028936,4.262177691,S1,MS21,10.5,9.7,1
9.76707,16.72565746,3.190955497,S1,MS21,10.5,9.7,1
9.77281,21.77993909,3.226858897,S1,MS21,10.5,9.7,1
9.77855,14.85176184,4.628669671,S1,MS21,10.5,9.7,1
9.78429,13.60631669,3.743546375,S1,MS21,10.5,9.7,1
9.79003,12.00827262,4.395787986,S1,MS21,10.5,9.7,1
9.79573,15.21965637,3.66213069,S1,MS21,10.5,9.7,1
9.80139,13.10457567,3.084860885,S1,MS21,10.5,9.7,1
9.80705,10.36019939,3.801508995,S1,MS21,10.5,9.7,1
9.81271,9.267545221,2.630474325,S1,MS21,10.5,9.7,1
9.81837,13.14629759,4.618829911,S1,MS21,10.5,9.7,1
9.82403,17.57381239,6.644859598,S1,MS21,10.5,9.7,1
9.82969,12.92239017,2.199150933,S1,MS21,10.5,9.7,1
9.83535,16.14380939,2.565855293,S1,MS21,10.5,9.7,1
9.84101,7.298721755,1.368758471,S1,MS21,10.5,9.7,1
9.84667,8.634044872,2.543813923,S1,MS21,10.5,9.7,1
9.85232,9.266578772,5.041413118,S1,MS21,10.5,9.7,1
9.85796,5.732068559,4.724530526,S1,MS21,10.5,9.7,1
9.8636,8.695702346,5.036942459,S1,MS21,10.5,9.7,1
9.86924,7.931503089,4.227944774,S1,MS21,10.5,9.7,1
9.87488,5.912212858,2.913682374,S1,MS21,10.5,9.7,1
9.88061,6.429531627,2.39586599,S1,MS21,10.5,9.7,1
9.88643,7.423017966,7.058352277,S1,MS21,10.5,9.7,1
9.89225,10.26909859,3.466265997,S1,MS21,10.5,9.7,1
9.89807,6.586849203,4.432913955,S1,MS21,10.5,9.7,1
9.90389,4.231446468,2.44799042,S1,MS21,10.5,9.7,1
9.9098,6.72374223,3.02232372,S1,MS21,10.5,9.7,1
9.9158,5.159791701,2.74265968,S1,MS21,10.5,9.7,1
9.9218,3.694560351,3.503493964,S1,MS21,10.5,9.7,1
9.9278,3.430362171,4.785063298,S1,MS21,10.5,9.7,1
9.9338,3.529119352,4.05589957,S1,MS21,10.5,9.7,1
