Age [ka BP],Depth [m],Al [ppm],Ba [ppm],Mo [ppm],Ti [ppm],U [ppm]
8.530,0.642,76319,292,11,6047,3
8.535,0.643,76491,334,7,5910,5
8.541,0.644,77453,394,9,5825,6
8.546,0.645,74433,420,16,5553,8
8.551,0.646,76293,426,15,5596,9
8.556,0.647,76821,485,14,5574,5
8.561,0.648,76212,381,13,5774,5
8.567,0.649,76929,389,13,5854,5
8.572,0.650,80809,378,14,6261,9
8.577,0.651,80743,322,12,6288,7
8.583,0.652,80708,349,15,6228,11
8.588,0.653,80658,365,16,6427,8
8.593,0.654,81516,272,14,6397,5
8.598,0.655,83363,378,18,6462,5
8.604,0.656,82710,340,15,6278,8
8.609,0.657,85468,346,15,6563,6
8.614,0.658,83566,303,17,6432,6
8.619,0.659,85456,409,22,6513,9
8.625,0.660,84063,302,20,6518,7
8.630,0.661,84787,356,18,6434,9
8.635,0.662,81767,354,10,6370,5
8.640,0.663,81385,353,18,6271,10
8.646,0.664,82014,394,19,6202,10
8.651,0.665,82195,373,23,6138,7
8.656,0.666,81253,367,20,6035,8
8.661,0.667,83586,371,15,6226,8
8.667,0.668,80544,333,16,6223,8
8.672,0.669,84957,371,17,6299,6
8.677,0.670,83200,319,15,6292,8
8.682,0.671,81171,330,14,6236,8
8.688,0.672,82890,340,18,6053,7
8.693,0.673,80883,344,16,6133,11
8.698,0.674,80172,370,13,6102,8
8.703,0.675,82351,369,14,6254,5
8.709,0.676,82267,363,17,6242,5
8.714,0.677,83060,359,19,6116,6
8.719,0.678,81836,397,17,6208,11
8.724,0.679,82150,418,20,6196,8
8.729,0.680,82137,340,16,6233,9
8.735,0.681,80963,401,15,6037,9
8.740,0.682,80386,355,15,6101,7
8.745,0.683,79063,399,15,6088,7
8.750,0.684,79543,338,14,6041,6
8.755,0.685,79131,287,13,6073,8
8.761,0.686,77936,344,10,5961,7
8.766,0.687,78515,312,12,6024,8
8.771,0.688,82018,379,21,6166,9
8.776,0.689,78874,385,12,5971,7
8.782,0.690,78339,348,12,6133,9
8.787,0.691,79620,391,17,5893,13
8.792,0.692,78208,339,14,6161,4
8.797,0.693,78642,411,14,6070,5
8.802,0.694,79614,367,14,6135,10
8.807,0.695,81942,332,12,6282,7
8.813,0.696,78701,379,17,6021,7
8.818,0.697,79832,359,13,6029,4
8.823,0.698,75327,380,12,5778,8
8.828,0.699,77352,418,10,5903,10
8.834,0.700,76941,390,14,5876,12
8.839,0.701,78229,250,16,6191,11
8.844,0.702,79019,306,15,6044,10
8.849,0.703,80533,400,13,5979,10
8.854,0.704,80463,341,12,6060,8
